"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"108",6.76849321164863,1,1,"caravan","KwaZulu.Natal","cardboard","thatching","no","priv.borehole","chemical","yes","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Central","no","female",0,72
"109",6.17635624389878,5,6,"na","KwaZulu.Natal","cardboard","plastic","yes","priv.borehole","chemical","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","male",7,41
"110",6.11716304047489,6,5,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","yes","yes","na","yes","na","yes","yes","na","yes","na","na","na","yes","Central","no","female",5,42
"111",5.50982633199096,9,5,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","female",5,35
"112",5.29195152576528,18,4,"flatlet","KwaZulu.Natal","cardboard","thatching","yes","com.borehole","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","yes","yes","na","na","yes","Central","no","female",0,65
"113",5.2862987147213,4,4,"shack","KwaZulu.Natal","rock","thatching","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","na","yes","na","na","na","na","na","yes","Central","no","male",6,56
"114",6.21231372030168,4,4,"backyard.shack","KwaZulu.Natal","rock","thatching","yes","na","pit.ventilation","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Central","no","female",11,34
"115",5.81061236923226,8,5,"shack","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","female",6,54
"116",6.02515564324463,9,4,"hut","KwaZulu.Natal","rock","thatching","yes","com.borehole","chemical","yes","na","not.working","na","na","working","yes","yes","na","yes","yes","yes","yes","na","na","yes","na","yes","yes","Central","no","male",0,82
"117",5.76891762716108,12,6,"flatlet","KwaZulu.Natal","cardboard","thatching","yes","public","chemical","na","na","not.working","na","no","working","na","na","yes","yes","yes","yes","yes","yes","na","yes","na","yes","yes","Central","no","male",0,73
"118",6.26158532929809,10,7,"na","KwaZulu.Natal","cardboard","thatching","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",7,53
"119",5.74193424062058,6,2,"hut","KwaZulu.Natal","cardboard","thatching","yes","na","pit.ventilation","yes","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","na","yes","na","yes","Central","no","female",8,67
"120",5.82542614020617,4,4,"na","KwaZulu.Natal","cardboard","na","no","na","chemical","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",11,22
"121",8.66847186593703,4,-3,"flatlet","KwaZulu.Natal","cardboard","thatching","yes","com.borehole","chemical","yes","na","not.working","na","no","working","na","na","na","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",12,34
"122",7.16844954250233,4,7,"na","KwaZulu.Natal","rock","plastic","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","na","na","na","na","Central","no","female",5,55
"123",6.36860635312887,3,6,"shack","KwaZulu.Natal","cardboard","thatching","yes","com.borehole","chemical","yes","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","Central","no","female",0,51
"124",5.01966665393874,11,-3,"flatlet","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","female",8,50
"125",6.62928149362435,8,5,"na","KwaZulu.Natal","rock","na","yes","priv.borehole","bucket","yes","na","not.working","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","female",9,56
"126",6.5373505601153,3,2,"na","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","bucket","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",10,47
"127",5.71985048150556,13,3,"shack","KwaZulu.Natal","cardboard","thatching","yes","com.borehole","flush.onsite","yes","na","not.working","na","na","working","yes","yes","na","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Central","no","male",0,77
"128",7.0475172213573,3,4,"flatlet","KwaZulu.Natal","cardboard","plastic","no","priv.borehole","chemical","yes","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Central","no","male",10,18
"129",6.14553849408064,5,4,"flatlet","KwaZulu.Natal","cardboard","mudcement","no","well","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Central","no","female",0,38
"130",5.33615899645624,8,6,"backyard.shack","Eastern.Cape","iron","na","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","working","na","yes","yes","yes","yes","yes","yes","na","na","na","na","yes","yes","Waterberg","no","female",9,55
"131",6.42036594113462,2,-3,"na","Eastern.Cape","iron","na","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","na","na","na","na","yes","yes","na","na","yes","yes","na","yes","Waterberg","no","female",0,65
"133",6.4487720491058,1,10,"na","Eastern.Cape","rock","na","no","com.borehole","flush.onsite","yes","na","not.working","yes","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Waterberg","no","female",5,27
"134",6.19100175323468,2,2,"na","Eastern.Cape","cardboard","sheeting","yes","com.borehole","bucket","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Waterberg","no","female",7,66
